home_allowed_first_downs,home_allowed_pass_yards,home_allowed_rush_yards,home_allowed_score,home_allowed_total_yards,home_allowed_turnovers,home_gained_first_downs,home_gained_pass_yards,home_gained_rush_yards,home_gained_score,home_gained_total_yards,home_gained_turnovers,home_win_perc,away_allowed_first_downs,away_allowed_pass_yards,away_allowed_rush_yards,away_allowed_score,away_allowed_total_yards,away_allowed_turnovers,away_gained_first_downs,away_gained_pass_yards,away_gained_rush_yards,away_gained_score,away_gained_total_yards,away_gained_turnovers,away_win_perc,score_diff
24.5,305.0,101.0,19.75,406.0,1.5,17.25,230.25,98.0,18.25,328.25,0.75,0.5,18.0,185.0,118.25,18.25,303.25,1.75,19.25,226.75,94.5,26.5,321.25,2.0,0.75,3
21.75,208.75,174.0,31.25,382.75,0.25,13.5,131.75,105.5,15.25,237.25,1.5,0.0,22.25,303.75,101.0,27.75,404.75,1.75,18.5,164.75,129.5,17.75,294.25,1.75,0.5,-10
22.0,257.25,133.0,27.0,390.25,1.75,15.25,187.0,83.0,15.75,270.0,1.5,0.0,21.25,242.75,130.0,31.5,372.75,1.25,13.25,159.75,110.75,12.25,270.5,2.5,0.25,-4
20.5,244.25,116.5,21.75,360.75,2.0,18.75,245.5,87.5,25.5,333.0,1.0,0.75,20.0,236.5,105.0,24.25,341.5,0.5,15.5,186.5,67.5,14.5,254.0,1.5,0.25,-11
17.333333333333332,216.66666666666663,120.44444444444444,19.777777777777782,337.1111111111111,1.4444444444444444,18.555555555555557,223.44444444444446,86.66666666666669,15.111111111111109,310.1111111111111,2.333333333333333,0.3333333333333333,19.777777777777782,221.77777777777774,106.0,20.222222222222218,327.77777777777777,2.1111111111111107,20.222222222222218,278.44444444444446,125.44444444444444,24.777777777777782,403.88888888888886,1.6666666666666667,0.5555555555555556,-3
19.33333333333333,220.77777777777774,150.55555555555554,24.777777777777782,371.33333333333326,1.1111111111111112,18.0,196.66666666666663,113.77777777777777,12.555555555555555,310.4444444444445,1.4444444444444444,0.2222222222222222,20.222222222222218,243.0,106.66666666666669,22.444444444444446,349.66666666666674,1.5555555555555556,16.77777777777778,207.88888888888889,91.66666666666669,16.0,299.5555555555556,1.7777777777777777,0.3333333333333333,-17
21.444444444444443,272.77777777777777,93.88888888888887,27.11111111111111,366.66666666666674,1.3333333333333333,17.88888888888889,180.0,145.22222222222226,19.88888888888889,325.22222222222223,0.8888888888888888,0.2222222222222222,23.33333333333333,246.0,132.44444444444446,25.88888888888889,378.4444444444445,1.4444444444444444,20.11111111111111,228.66666666666663,156.22222222222226,23.11111111111111,384.88888888888886,2.0,0.5555555555555556,-6
19.33333333333333,256.3333333333333,105.11111111111113,19.777777777777782,361.4444444444445,0.6666666666666666,18.666666666666668,206.44444444444446,114.22222222222223,17.555555555555557,320.6666666666667,1.5555555555555556,0.2222222222222222,22.222222222222218,261.44444444444446,125.44444444444444,24.222222222222218,386.88888888888886,2.2222222222222223,20.222222222222218,222.66666666666663,135.0,25.444444444444446,357.66666666666674,1.7777777777777777,0.5555555555555556,27
20.0,243.11111111111111,117.55555555555556,26.0,360.66666666666674,1.2222222222222223,18.555555555555557,159.88888888888889,158.22222222222226,20.88888888888889,318.1111111111111,1.7777777777777777,0.4444444444444444,18.33333333333333,210.77777777777774,116.0,22.222222222222218,326.77777777777777,2.1111111111111107,18.222222222222218,216.0,98.11111111111113,23.88888888888889,314.1111111111111,2.0,0.5555555555555556,4
22.538461538461537,240.53846153846158,144.30769230769232,29.384615384615387,384.8461538461538,0.9230769230769232,16.076923076923073,188.15384615384616,95.23076923076924,14.153846153846152,283.38461538461536,1.8461538461538465,0.0,21.076923076923077,240.38461538461542,121.76923076923076,19.30769230769231,362.1538461538461,1.5384615384615383,17.153846153846153,229.53846153846158,93.92307692307692,20.46153846153846,323.46153846153845,1.1538461538461535,0.5384615384615384,14
21.30769230769231,242.7692307692308,117.15384615384615,22.153846153846153,359.92307692307685,1.1538461538461535,17.307692307692307,212.61538461538458,104.69230769230771,19.46153846153846,317.3076923076923,2.0,0.4615384615384616,18.46153846153846,180.6923076923077,150.9230769230769,19.53846153846154,331.61538461538464,1.2307692307692308,17.69230769230769,197.6923076923077,94.15384615384615,13.692307692307693,291.84615384615387,1.2307692307692308,0.3076923076923077,3
21.625,299.625,100.0,22.375,399.625,2.375,22.25,312.0,104.375,34.375,416.375,1.0,1.0,21.25,273.625,94.375,24.875,368.0,1.375,18.375,182.25,150.375,21.5,332.625,0.875,0.25,38
20.066666666666666,235.26666666666668,127.66666666666669,25.53333333333333,362.9333333333333,1.1333333333333333,18.266666666666666,158.93333333333334,161.06666666666666,20.4,320.0,1.8,0.5333333333333333,18.33333333333333,211.4,126.4,22.33333333333333,337.8,1.6,17.533333333333335,193.66666666666663,119.13333333333334,13.666666666666664,312.8,1.8,0.4,-4
16.866666666666667,184.0,96.66666666666669,17.0,280.6666666666667,1.7333333333333334,19.933333333333334,218.06666666666663,153.06666666666666,23.93333333333333,371.13333333333327,1.2666666666666666,0.6666666666666666,20.133333333333333,226.26666666666668,126.73333333333332,19.666666666666668,353.0,1.4666666666666666,17.6,243.2,90.13333333333334,20.133333333333333,333.3333333333333,1.4,0.5333333333333333,-1
